time_s,temp_F,heat_on,stage
0.0,252.5,1,pre
1.0,249.35,1,pre
2.0,244.85,1,pre
3.0,241.25,1,pre
4.0,239.45,1,pre
5.0,237.2,1,pre
6.0,235.85,1,pre
7.0,235.85,1,pre
8.0,233.6,1,pre
9.0,234.5,1,pre
10.0,235.4,1,pre
11.0,236.3,1,pre
12.0,239.45,1,pre
13.0,242.15,1,pre
14.0,245.3,1,pre
15.0,249.35,1,pre
16.0,252.5,1,pre
17.0,256.55,1,pre
18.0,259.7,1,pre
19.0,263.3,1,pre
20.0,266.9,1,pre
21.0,270.05,1,pre
22.0,273.2,1,pre
23.0,275.9,1,pre
24.0,278.15,1,pre
25.0,281.3,1,pre
26.0,283.1,1,pre
27.0,284.9,1,pre
28.0,287.6,1,pre
29.0,288.5,1,pre
30.0,290.3,1,pre
31.0,292.1,1,pre
32.0,293.9,1,pre
33.0,295.25,1,pre
34.0,295.7,1,pre
35.0,296.15,1,pre
